2016,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Sep,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,79,74,69,70,68,58,93,80,66,29.96,29.87,29.83,10,5,0,10,2,16,0.5,"Fog , Rain"
2,81,74,66,57,54,50,68,54,39,30.14,30.06,29.97,10,10,10,13,6,18,0,
3,75,71,66,62,58,54,81,67,53,30.21,30.16,30.13,10,10,10,15,7,24,0,
4,80,73,65,59,54,49,78,58,37,30.25,30.22,30.17,10,10,10,15,7,21,0,
5,84,75,65,58,52,46,56,48,40,30.23,30.12,29.97,10,10,10,16,8,27,0,
6,80,76,71,67,61,53,84,65,46,30,29.97,29.93,10,10,5,18,10,30,T,
7,85,78,71,68,66,64,84,70,55,30.03,29.98,29.93,10,9,5,14,6,22,0,
8,89,80,71,73,69,67,84,69,53,29.96,29.89,29.81,9,8,6,10,3,19,0,
9,91,83,75,74,70,67,94,71,47,30.02,29.91,29.82,10,8,2,10,4,17,0.22,Rain
10,90,82,74,77,73,70,94,77,59,30.01,29.97,29.91,8,6,4,10,4,21,T,
11,83,75,67,73,61,46,85,59,33,30.16,29.97,29.86,10,9,7,16,6,28,0,
12,78,70,62,57,51,45,73,54,35,30.27,30.22,30.17,10,10,10,9,4,16,0,
13,83,74,64,62,59,55,78,62,46,30.25,30.18,30.11,10,10,9,13,4,23,0,
14,91,79,67,70,62,54,84,58,32,30.14,30.06,29.96,10,7,0,15,5,27,0.56,"Fog , Rain"
15,74,68,61,54,48,43,67,51,35,30.29,30.25,30.16,10,10,10,15,5,24,0,
16,73,67,61,54,53,51,72,61,49,30.34,30.3,30.27,10,10,10,9,3,17,0,
17,77,67,59,64,58,52,87,70,52,30.28,30.2,30.1,10,10,9,8,3,-,0,
18,82,76,70,70,67,61,84,77,69,30.11,30.06,30,10,9,7,12,4,18,0,
19,76,73,69,72,69,66,100,91,82,30.11,30.05,29.99,10,6,1,12,2,18,0.68,Rain
20,82,75,68,68,67,64,93,74,55,30.15,30.1,30.07,10,9,6,9,2,12,0,
21,84,76,68,68,56,45,90,59,28,30.19,30.15,30.1,10,10,7,12,4,17,0,
22,86,76,65,55,51,44,68,48,27,30.19,30.14,30.09,10,10,10,8,2,14,0,
23,87,76,64,63,57,51,78,54,30,30.07,30,29.92,10,10,8,12,2,17,0.01,
24,71,65,58,61,52,42,93,65,37,30.16,30.1,30.01,10,9,2,14,5,23,0.2,Rain
25,70,62,54,43,39,34,64,46,28,30.21,30.17,30.12,10,10,10,10,3,15,0,
26,74,64,54,58,47,38,72,58,44,30.21,30.13,29.99,10,10,10,12,4,19,0,
27,74,69,64,64,60,50,87,67,46,29.98,29.93,29.88,10,8,2,10,3,18,0.22,Rain
28,69,63,56,60,57,53,93,80,67,30.25,30.12,29.99,10,8,3,18,8,27,0,
29,64,61,57,55,53,51,87,75,63,30.38,30.33,30.25,10,9,3,21,11,31,0,
30,59,58,56,57,54,49,93,83,72,30.35,30.29,30.24,10,4,1,16,10,28,0.4,Rain
