2015,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Apr,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,51,42,32,31,18,9,82,52,22,30.21,30.05,29.82,10,10,10,15,5,23,0,
2,67,54,41,34,24,8,41,32,22,30.26,30.12,29.91,10,10,10,20,6,31,0,
3,64,62,59,56,50,35,84,62,39,29.88,29.78,29.61,10,8,4,16,7,25,0.04,Rain
4,60,51,42,56,34,14,87,56,24,30.15,29.77,29.46,10,9,5,24,10,41,0.01,Rain
5,61,52,42,34,24,16,60,43,25,30.27,30.16,30.08,10,10,10,18,5,30,0,
6,63,53,42,42,36,33,76,56,36,30.32,30.23,30.13,10,10,9,12,4,18,0,
7,62,52,42,46,41,39,89,66,43,30.32,30.23,30.12,10,8,2,17,7,25,0.15,Rain
8,45,41,37,39,32,24,86,66,45,30.38,30.31,30.23,10,9,5,22,11,32,0,
9,43,40,37,38,35,32,92,81,70,30.37,30.29,30.22,10,9,3,18,9,25,0,
10,56,48,39,50,42,37,96,90,83,30.21,29.95,29.76,10,5,2,14,5,22,0.17,Rain
11,57,51,44,45,31,24,66,48,30,30.22,29.99,29.83,10,10,10,17,9,28,0,
12,66,55,43,38,28,23,59,39,19,30.33,30.28,30.23,10,10,10,13,3,21,0,
13,68,59,50,45,37,31,55,43,30,30.36,30.27,30.16,10,10,10,15,5,24,0,
14,65,60,55,52,41,27,75,50,24,30.19,30.13,30.07,10,10,10,13,4,22,0.01,
15,72,62,51,34,21,14,41,27,12,30.36,30.19,30.11,10,10,10,21,6,35,0,
16,64,58,52,42,25,17,61,39,17,30.48,30.39,30.26,10,10,10,16,7,21,0,
17,71,63,55,54,51,43,83,68,53,30.24,30.04,29.9,10,9,5,15,5,25,0.08,Rain
18,80,70,59,47,39,25,56,38,20,30.05,29.95,29.85,10,10,10,15,4,25,0,
19,64,56,48,36,29,19,61,41,21,30.27,30.2,30.08,10,10,10,15,9,22,0,
20,57,52,46,56,50,38,100,83,66,30.14,29.78,29.59,10,3,0,16,7,27,1.37,"Fog , Rain"
21,65,59,52,54,44,25,100,63,25,29.77,29.64,29.55,10,6,2,16,6,24,0.2,Rain
22,69,59,48,47,36,28,67,49,31,29.8,29.69,29.54,10,10,4,20,6,33,0.05,Rain
23,52,47,41,32,24,18,62,47,32,29.84,29.75,29.68,10,10,10,21,9,33,0,
24,52,46,39,20,18,16,44,35,26,29.93,29.87,29.83,10,10,10,17,9,33,0,
25,62,50,38,34,23,20,52,36,20,29.93,29.81,29.69,10,10,10,14,6,22,0,
26,64,55,46,28,27,25,46,36,25,29.71,29.68,29.65,10,10,10,13,5,21,0,
27,62,56,49,34,30,28,50,40,29,29.73,29.67,29.63,10,10,10,16,6,28,0,
28,71,61,50,37,35,31,61,43,24,29.8,29.75,29.7,10,10,10,17,8,26,0,
29,78,64,50,42,38,32,68,44,20,29.76,29.7,29.62,10,10,10,17,6,23,0,
30,67,58,48,41,38,36,71,53,34,29.92,29.8,29.73,10,10,10,15,8,21,0,
